opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:22354","fleet_fuel_replacement","ev_charging_site_load","bill_savings|upfront_cost_reduction","business_relevant","fuel|electric","annual_gallons|annual_fuel_cost|average_cost_per_gallon|vehicle_count","estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh|peak_kw|demand_charge_rate|time_of_use_periods","vehicle_count","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:4252","pace_or_on_bill_financing","","financing","mixed","none","project_cost_estimate|financing_term_years|interest_rate","ownership_status|down_payment|annual_electric_cost|annual_gas_cost","ownership_status","financing","contractor_quote_required","needs_quote","high","true"
"SOURCE_DSIRE:dsire_program_id:22242","grant_funding","","upfront_cost_reduction","unknown","none","project_cost_estimate","contractor_quote_amount","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:2199","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","mixed","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:5423","sales_or_property_tax_exemption","electric_usage_reduction","bill_savings|tax_benefit","business_relevant","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","false"
"SOURCE_DSIRE:dsire_program_code_title_hash:NY100F:19a5badb1d1c","sales_or_property_tax_exemption","","tax_benefit","unknown","none","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount","equipment_category","tax_exemption","benchmark_range","needs_tax_review","low","true"
"SOURCE_DSIRE:dsire_program_id:3475","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:3030","sales_or_property_tax_exemption","hvac_electric_efficiency|gas_usage_reduction|refrigeration_electric_efficiency|motor_vfd_efficiency|commercial_kitchen_equipment_efficiency|water_sewer_reduction","bill_savings|tax_benefit","business_relevant","none|electric|gas|water_sewer","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule|demand_charge_rate|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:1373","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:742","program_rule_value_only","","policy_or_permitting","residential_only","none","","service_address|utility_provider","project_timing","unknown","unknown","policy_only","low","true"
